epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,31119.7,1.49728,1.10031,0.9932,0.5423,0.42241,0.4277,0.2534,1.29804,0.92961,0.92684,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,31731.3,1.48793,1.08364,0.99184,0.53907,0.43198,0.43044,0.25498,1.29148,0.92502,0.92518,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,32348.6,1.47515,1.07184,0.98885,0.55041,0.43719,0.44177,0.26351,1.28379,0.91134,0.92399,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,32963.4,1.46921,1.0604,0.98533,0.54789,0.44253,0.44355,0.26417,1.28005,0.90397,0.9219,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,33606.6,1.45734,1.04602,0.98197,0.56364,0.44169,0.44979,0.26898,1.26855,0.8923,0.919,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,34257.2,1.45152,1.03505,0.97817,0.56039,0.44583,0.45075,0.27036,1.26688,0.88845,0.9168,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,36220.3,1.43924,1.02294,0.97586,0.56038,0.45121,0.45742,0.27385,1.26219,0.88134,0.91606,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,36814,1.43251,1.01416,0.97221,0.56461,0.45814,0.46437,0.27845,1.25559,0.87277,0.91424,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,37413.9,1.42471,1.00369,0.9682,0.57309,0.46111,0.46859,0.28062,1.25075,0.86571,0.91345,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,38044.8,1.41967,0.99826,0.96756,0.57422,0.46229,0.46994,0.28265,1.25125,0.86292,0.91284,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,38708.4,1.41461,0.9899,0.96635,0.58136,0.46441,0.47447,0.28566,1.24647,0.85778,0.91184,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,39356.9,1.4033,0.97876,0.96412,0.57854,0.46912,0.4773,0.28801,1.24136,0.8509,0.91004,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,39970.9,1.39592,0.96796,0.96298,0.59191,0.46515,0.48045,0.2913,1.23802,0.84784,0.90948,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,40586.9,1.38854,0.96043,0.95988,0.58742,0.47049,0.48321,0.29199,1.23787,0.84394,0.90904,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,41199.8,1.38519,0.95652,0.95863,0.58718,0.47534,0.48541,0.29336,1.23764,0.84179,0.90894,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,41813.7,1.38732,0.95201,0.95743,0.58886,0.47692,0.48801,0.2943,1.23446,0.83769,0.90837,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,42458.5,1.37173,0.941,0.95384,0.59175,0.47988,0.49197,0.29761,1.23225,0.83537,0.90709,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,43051.8,1.36832,0.93456,0.95283,0.60016,0.47876,0.4936,0.29819,1.22962,0.8321,0.90631,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,43668.2,1.37367,0.93313,0.95152,0.60383,0.4774,0.49383,0.29888,1.22832,0.83117,0.90619,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,46414.8,1.36113,0.92278,0.95013,0.59355,0.48466,0.4969,0.30053,1.22604,0.82842,0.90537,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,47001.1,1.35391,0.91497,0.94823,0.59859,0.48422,0.49792,0.30174,1.22435,0.82672,0.90466,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,47677.2,1.34872,0.90587,0.94577,0.60397,0.48486,0.50018,0.30294,1.22514,0.82471,0.90447,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,48265.9,1.34154,0.89806,0.94378,0.60106,0.48637,0.50122,0.30385,1.22276,0.82287,0.9041,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,48918.9,1.33694,0.89247,0.94149,0.6034,0.48611,0.50201,0.30457,1.22175,0.82102,0.90385,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,49550.7,1.33383,0.88794,0.94212,0.59726,0.49139,0.50277,0.3047,1.2214,0.81992,0.90367,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,50162.6,1.32941,0.88074,0.94114,0.60766,0.48761,0.50385,0.30528,1.2201,0.8179,0.90313,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,50754,1.32233,0.8735,0.93847,0.60836,0.48909,0.50435,0.30572,1.21868,0.8175,0.90299,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,51337.3,1.31706,0.86664,0.93701,0.60954,0.48968,0.50449,0.30583,1.21955,0.8167,0.90276,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,51918.5,1.31003,0.85846,0.93527,0.60584,0.49082,0.50517,0.30615,1.21927,0.816,0.90277,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,52512.7,1.30772,0.85449,0.93334,0.61718,0.48604,0.50592,0.30647,1.21839,0.81515,0.90235,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,53073.9,1.27974,0.82203,0.93689,0.61274,0.48965,0.50508,0.30632,1.21998,0.81587,0.90262,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,53628.4,1.26828,0.80786,0.93397,0.61431,0.49053,0.5049,0.30619,1.22071,0.81688,0.90277,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,54183.6,1.26343,0.8005,0.93173,0.61098,0.49057,0.50468,0.3057,1.22124,0.81777,0.90285,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,54738.8,1.25679,0.79168,0.93074,0.60575,0.49262,0.50376,0.30504,1.2223,0.819,0.903,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,55293.8,1.24835,0.78284,0.92953,0.6114,0.48998,0.50308,0.30484,1.22311,0.81921,0.90315,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,55848.6,1.24509,0.77673,0.92681,0.60893,0.4909,0.50293,0.30476,1.22337,0.81958,0.90323,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,56406.6,1.2379,0.76827,0.92527,0.60958,0.48929,0.50273,0.30454,1.22376,0.82023,0.90319,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,56986.8,1.23195,0.76203,0.92268,0.61227,0.48864,0.50267,0.30411,1.22419,0.82085,0.90319,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,57568.5,1.22711,0.75605,0.92145,0.60981,0.49189,0.50306,0.30391,1.22447,0.82148,0.90322,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,58149,1.22234,0.74968,0.92078,0.60974,0.49107,0.50245,0.30359,1.22482,0.82217,0.90328,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
