epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,716.245,1.71161,1.53363,1.08228,0.42012,0.33883,0.30716,0.17976,1.40403,1.1357,0.95358,0.00999557,0.00333186,0.00999557,0.00333186,0.00999557,0.00333186,0.00999557,0.00333186
2,1347.94,1.65324,1.33857,1.04835,0.43169,0.34591,0.31829,0.18396,1.41023,1.11682,0.96258,0.0195997,0.00653322,0.0195997,0.00653322,0.0195997,0.00653322,0.0195997,0.00653322
3,2004.13,1.68581,1.36627,1.06352,0.39723,0.32969,0.29277,0.16267,1.50105,1.20214,0.98625,0.0288077,0.00960258,0.0288077,0.00960258,0.0288077,0.00960258,0.0288077,0.00960258
4,2655.08,1.67891,1.35649,1.06312,0.43557,0.35528,0.32797,0.18915,1.41401,1.11325,0.96298,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3381.48,1.62353,1.27977,1.0438,0.47928,0.37102,0.35294,0.20597,1.37565,1.05159,0.95178,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4510.76,1.59043,1.2258,1.02778,0.48993,0.38596,0.37462,0.2207,1.35104,1.01393,0.94626,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5167.73,1.56137,1.19163,1.02096,0.50255,0.39811,0.38802,0.22754,1.34398,0.99536,0.94051,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,20635.3,1.54089,1.16158,1.01199,0.50287,0.40005,0.39274,0.2331,1.33024,0.97959,0.93664,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,24512.7,1.52648,1.13825,1.00748,0.5298,0.41045,0.40875,0.24137,1.31178,0.95707,0.93209,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,25139.3,1.51163,1.11842,1.00052,0.53332,0.41548,0.41596,0.24662,1.31106,0.95033,0.92959,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
