Model,mAP50,mAP50-95,Precision,Recall
YOLO11s (Offline Aug),0.5068184668748976,0.30830796143276684,0.6196324465644456,0.48617551366991696
YOLO11m (Offline + Online Aug),0.44097379350695903,0.245443969807064,0.5704349143208404,0.439963388780674
YOLO11m (Online Aug),0.4480545719731387,0.2674592288383309,0.5656490074941447,0.4534875565860155
